timestamp,barcode_text,ocr_text,image_path,status
2026-03-12 09:39:33,BARCODE NOT FOUND,11400070,data\captures\2026-03-12\img_20260312_093933_BARCODENOTFOUND_11400070.jpg,ocr_only
2026-03-12 09:39:34,BARCODE NOT FOUND,110007,data\captures\2026-03-12\img_20260312_093934_BARCODENOTFOUND_110007.jpg,ocr_only
2026-03-12 09:39:37,BARCODE NOT FOUND,00,data\captures\2026-03-12\img_20260312_093937_BARCODENOTFOUND_00.jpg,ocr_only
2026-03-12 09:39:38,BARCODE NOT FOUND,170,data\captures\2026-03-12\img_20260312_093938_BARCODENOTFOUND_170.jpg,ocr_only
2026-03-12 09:39:42,2LCH9500+33003000,114690079350,data\captures\2026-03-12\img_20260312_093942_2LCH950033003000_114690079350.jpg,barcode+ocr
2026-03-12 09:39:45,BARCODE NOT FOUND,1145007550,data\captures\2026-03-12\img_20260312_093944_BARCODENOTFOUND_1145007550.jpg,ocr_only
2026-03-12 09:39:45,BARCODE NOT FOUND,11490079530,data\captures\2026-03-12\img_20260312_093945_BARCODENOTFOUND_11490079530.jpg,ocr_only
2026-03-12 09:39:51,BARCODE NOT FOUND,1149007930,data\captures\2026-03-12\img_20260312_093951_BARCODENOTFOUND_1149007930.jpg,ocr_only
2026-03-12 09:39:54,BARCODE NOT FOUND,1149907530,data\captures\2026-03-12\img_20260312_093954_BARCODENOTFOUND_1149907530.jpg,ocr_only
2026-03-12 09:39:59,BARCODE NOT FOUND,114007930,data\captures\2026-03-12\img_20260312_093959_BARCODENOTFOUND_114007930.jpg,ocr_only
2026-03-12 09:40:00,BARCODE NOT FOUND,114007950,data\captures\2026-03-12\img_20260312_094000_BARCODENOTFOUND_114007950.jpg,ocr_only
2026-03-12 09:40:01,BARCODE NOT FOUND,1149079350,data\captures\2026-03-12\img_20260312_094001_BARCODENOTFOUND_1149079350.jpg,ocr_only
2026-03-12 09:40:03,BARCODE NOT FOUND,1149007830,data\captures\2026-03-12\img_20260312_094003_BARCODENOTFOUND_1149007830.jpg,ocr_only
2026-03-12 09:40:06,BARCODE NOT FOUND,1149079350,data\captures\2026-03-12\img_20260312_094006_BARCODENOTFOUND_1149079350.jpg,ocr_only
2026-03-12 09:40:07,BARCODE NOT FOUND,1148007950,data\captures\2026-03-12\img_20260312_094007_BARCODENOTFOUND_1148007950.jpg,ocr_only
2026-03-12 09:40:09,BARCODE NOT FOUND,1149007930,data\captures\2026-03-12\img_20260312_094009_BARCODENOTFOUND_1149007930.jpg,ocr_only
2026-03-12 09:41:24,BARCODE NOT FOUND,0,data\captures\2026-03-12\img_20260312_094124_BARCODENOTFOUND_0.jpg,ocr_only
2026-03-12 09:41:25,BARCODE NOT FOUND,1,data\captures\2026-03-12\img_20260312_094125_BARCODENOTFOUND_1.jpg,ocr_only
